 TOTAL,AMOUNT,DATE,DATE OF EVENT,DESCRIPTION,DISCOUNT,DONATION,ESTIMATE TOTAL,ESTIMATED HOURS,ESTIMATED TOTAL,HOURS,HOURS/UNITS,OCCURANCE,SUBTOTAL,TOTAL,rate,sheet
,,,2015-04-21,East Oakland,,,,,,,,,,0,Non Member Weekday Rate - Sponsorhsip,315011 Cleantech Open
,,,2015-04-21,West Oakland,,,,,,,,,,0,Non Member Weekday Rate - Sponsorhsip,315011 Cleantech Open
,75,,2015-04-21,Set Up & Reset,,,,,,,2,,150,150,Non Member Weekday Rate - Sponsorhsip,315011 Cleantech Open
,40,,2015-04-21,IHO Staffing,,,,,,,5,,200,200,Non Member Weekday Rate - Sponsorhsip,315011 Cleantech Open
,,,2015-04-21,A/V Sound Technician,,,,,,,,,,0,Non Member Weekday Rate - Sponsorhsip,315011 Cleantech Open
,,,2015-04-21,Coffee Service ,,,,,,,,,,0,Non Member Weekday Rate - Sponsorhsip,315011 Cleantech Open
,,,2015-04-21,Security,,,,,,,,,,0,Non Member Weekday Rate - Sponsorhsip,315011 Cleantech Open
,,,2015-04-21,,,,,,,,,,,0,Non Member Weekday Rate - Sponsorhsip,315011 Cleantech Open
,,,2015-04-21,Total,,,,,,,,,1235,527,Non Member Weekday Rate - Sponsorhsip,315011 Cleantech Open
,225,,2015-05-07,On Broadway,0.1,,,,,,2.5,,562.5,506.25,Part-time Member Weekday Rate -- Multi-Room Discount,115005-4 Friends of Parks&R 
,150,,2015-05-07,Atrium,0.1,,,,,,2.5,,375,337.5,Part-time Member Weekday Rate -- Multi-Room Discount,115005-4 Friends of Parks&R 
,115,,2015-05-07,Jingletown Lounge,0.1,,,,,,2.5,,287.5,258.75,Part-time Member Weekday Rate -- Multi-Room Discount,115005-4 Friends of Parks&R 
,85,,2015-05-07,OMI Gallery,0.1,,,,,,5,,425,382.5,Part-time Member Weekday Rate -- Multi-Room Discount,115005-4 Friends of Parks&R 
,,,2015-05-07,Meridian Room,,,,,,,,,,0,Part-time Member Weekday Rate -- Multi-Room Discount,115005-4 Friends of Parks&R 
,,,2015-05-07,Uptown,,,,,,,,,,0,Part-time Member Weekday Rate -- Multi-Room Discount,115005-4 Friends of Parks&R 
,25,,2015-05-07,East Oak,0.1,,,,,,7,,175,157.5,Part-time Member Weekday Rate -- Multi-Room Discount,115005-4 Friends of Parks&R 
,75,,2015-05-07,Set Up & Break Down,,,,,,,4,,300,300,Part-time Member Weekday Rate -- Multi-Room Discount,115005-4 Friends of Parks&R 
,35,,2015-05-07,Site Manager/Staffing,,,,,,,6.5,,227.5,227.5,Part-time Member Weekday Rate -- Multi-Room Discount,115005-4 Friends of Parks&R 
,500,,2015-05-07,Large Party Janitorial Fee,,,,,,,Flat Fee,,500,500,Part-time Member Weekday Rate -- Multi-Room Discount,115005-4 Friends of Parks&R 
,100,,2015-05-07,Waste Removal Fee ,,,,,,,Flat Fee,,100,100,Part-time Member Weekday Rate -- Multi-Room Discount,115005-4 Friends of Parks&R 
,40,,2015-05-07,A/V Technician,,,,,,,4.5,,180,180,Part-time Member Weekday Rate -- Multi-Room Discount,115005-4 Friends of Parks&R 
,,,2015-05-07,Coffee Service ,,,,,,,,,,0,Part-time Member Weekday Rate -- Multi-Room Discount,115005-4 Friends of Parks&R 
,,,2015-05-07,Security,,,,,,,,,,0,Part-time Member Weekday Rate -- Multi-Room Discount,115005-4 Friends of Parks&R 
,,,2015-05-07,,,,,,,,,,,0,Part-time Member Weekday Rate -- Multi-Room Discount,115005-4 Friends of Parks&R 
,,,2015-05-07,Total,,,,,,,,,3132.5,2950,Part-time Member Weekday Rate -- Multi-Room Discount,115005-4 Friends of Parks&R 
,,2014-05-28,,On Broadway,,,,,,,,,,0,Full Time Member Weekday Rate,2062 John Pomeroy
,,2014-05-28,,Atrium,,,,,,,,,,0,Full Time Member Weekday Rate,2062 John Pomeroy
,60,2014-05-28,,Omi Gallery,,,,,,2,,,,120,Full Time Member Weekday Rate,2062 John Pomeroy
,,2014-05-28,,Jingletown Lounge (Mezzanine),,,,,,,,,,0,Full Time Member Weekday Rate,2062 John Pomeroy
,,2014-05-28,,Green Room,,,,,,,,,,,Full Time Member Weekday Rate,2062 John Pomeroy
,25,2014-05-28,,Set Up & Break Down,,,,,,1.5,,,,37.5,Full Time Member Weekday Rate,2062 John Pomeroy
,,2014-05-28,,Large Party Cleaning Fee,,,,,,,,,,0,Full Time Member Weekday Rate,2062 John Pomeroy
,waved,2014-05-28,,Standard Cleaning Fee,,,,,,Flat Fee,,,,,Full Time Member Weekday Rate,2062 John Pomeroy
,,2014-05-28,,A/V Technician,,,,,,,,,,0,Full Time Member Weekday Rate,2062 John Pomeroy
,,2014-05-28,,Coffee Service,,,,,,,,,,0,Full Time Member Weekday Rate,2062 John Pomeroy
