invoice,DATE,#rooms,HOURS,SUBTOTAL,TOTAL,DISCOUNT,invoice_date,membership_level,discount_type,day_type,day_dur,rooms
2169,2014-12-12,  4.00,  9.00,2555.00,2345.00,  0.08,2014-11-04,NON_MEMBER,MULTI_ROOM,WEEKDAY,FULL_DAY,"B,E,J,W"
2168,2014-11-20,  1.00,  5.00,1025.00,1025.00,  0.00,2014-10-29,PART_TIME,NONE,WEEKDAY,PARTIAL_DAY,B
2167,2015-01-17,  2.00, 10.00,2865.00,2200.00,  0.23,2014-10-28,NON_MEMBER,NONE,WEEKEND,FULL_DAY,"B,D"
2166,2014-12-04,  1.00,  3.50,310.00,310.00,  0.00,2014-10-24,FULL_TIME,NONE,WEEKDAY,PARTIAL_DAY,O
2165,2014-12-13,  1.00,  9.00,2825.00,2825.00,  0.00,2014-10-23,NON_MEMBER,NONE,WEEKEND,FULL_DAY,B
2164,2014-12-01,  1.00,  5.00,1330.00,1180.00,  0.11,2014-10-23,NON_MEMBER,NONE,WEEKDAY,PARTIAL_DAY,B
2163,2014-12-06,  1.00,  7.50,2000.00,2000.00,  0.00,2014-10-20,PART_TIME,NONE,WEEKEND,FULL_DAY,B
2162,2014-10-30,  1.00,  5.00,1451.00,1451.00,  0.00,2014-10-16,PART_TIME,NONE,WEEKDAY,PARTIAL_DAY,B
2161,2014-11-19,  1.00,  4.00,750.00,750.00,  0.00,2014-10-09,FULL_TIME,NONE,WEEKDAY,PARTIAL_DAY,A
2160,2014-11-04,  1.00,  4.00,962.09,962.00,  0.00,2014-11-03,NON_MEMBER,NONE,WEEKDAY,PARTIAL_DAY,A
2159,2014-10-10,  1.00,  5.50,1385.00,1128.35,  0.19,2014-10-01,NON_MEMBER,FRIEND,WEEKDAY,FULL_DAY,B
2158,2014-12-02,  1.00,  4.50,1187.50,1187.50,  0.00,2014-10-01,NON_MEMBER,NONE,WEEKDAY,PARTIAL_DAY,B
2157,2014-12-11,  1.00,  5.00,1205.00,762.50,  0.37,2014-10-01,NON_MEMBER,FRIEND,WEEKDAY,PARTIAL_DAY,B
2156,2014-10-16,  1.00,  2.50,340.00,340.00,  0.00,2014-10-01,NON_MEMBER,NONE,WEEKDAY,PARTIAL_DAY,O
2155,2014-11-14,  1.00,  6.00,1840.00,1840.00,  0.00,2014-09-23,NON_MEMBER,NONE,WEEKEND,FULL_DAY,B
2154,2014-11-10,  1.00,  4.00,1090.00,942.50,  0.14,2014-09-23,NON_MEMBER,FRIEND,WEEKDAY,PARTIAL_DAY,B
2153,2014-11-19,  1.00,  3.00,380.00,380.00,  0.00,2014-09-23,unknown,NONE,WEEKDAY,PARTIAL_DAY,B
2152,2014-09-24,  1.00,  3.00,380.00,380.00,  0.00,2014-09-23,unknown,NONE,WEEKDAY,PARTIAL_DAY,B
2151,2014-10-03,  1.00,  4.00,1120.00,681.20,  0.39,2014-09-22,NON_MEMBER,FRIEND,WEEKDAY,PARTIAL_DAY,B
215016,2015-03-01,  1.00,  3.50,595.00,595.00,  0.00,2015-02-24,FULL_TIME,NONE,WEEKEND,PARTIAL_DAY,O
215015,2015-04-24,,, 15.00, 15.00,  0.00,,,,,PARTIAL_DAY,
215014,2015-03-21,  1.00,  5.00,1695.00,1317.00,  0.22,2015-02-20,NON_MEMBER,FRIEND,WEEKEND,PARTIAL_DAY,B
215013,2015-03-21,  1.00,  5.50,1607.50,1423.75,  0.11,2015-03-10,FULL_TIME,FOUNDER,WEEKEND,FULL_DAY,B
215012,2015-03-12,  1.00,  4.00,980.00,980.00,  0.00,2015-02-18,FULL_TIME,NONE,WEEKDAY,PARTIAL_DAY,A
215011,2015-06-13,,,120.00,120.00,  0.00,,,,,PARTIAL_DAY,
215010,2015-03-04,  1.00,  6.00,1730.00,1175.00,  0.32,2015-02-12,PART_TIME,unknown,WEEKDAY,FULL_DAY,B
215008,2015-02-16,  2.00,  6.00,2690.00,1910.00,  0.29,2015-02-11,NON_MEMBER,FOUNDER,WEEKDAY,FULL_DAY,"A,B"
215007,2015-02-14,  1.00,  5.50,1610.00,1189.25,  0.26,2015-02-11,PART_TIME,FOUNDER,WEEKEND,FULL_DAY,B
215006,2015-02-23,  1.00,  4.50,1370.00,1280.00,  0.07,2015-02-23,FULL_TIME,FRIEND,WEEKDAY,PARTIAL_DAY,B
215005,2015-05-14,  2.00,  6.00,2180.00,710.00,  0.67,2015-02-04,NON_MEMBER,FRIEND,WEEKDAY,FULL_DAY,"B,O"
215004,2015-02-12,  1.00,  3.50,645.00,327.00,  0.49,2015-02-11,FULL_TIME,unknown,WEEKDAY,PARTIAL_DAY,O
215001,2015-02-05,  1.00,  4.00,1060.00,1060.00,  0.00,2015-01-09,PART_TIME,NONE,WEEKDAY,PARTIAL_DAY,B
2150,2014-10-09,  1.00,  3.50,892.50,892.50,  0.00,2014-09-02,NON_MEMBER,NONE,WEEKDAY,PARTIAL_DAY,B
2149,2014-11-13,  2.00,  5.50,2315.00,1800.50,  0.22,2014-09-19,NON_MEMBER,unknown,WEEKDAY,FULL_DAY,"A,B"
2147,2014-11-17,  1.00,  2.50,112.50,112.50,  0.00,2014-09-19,FULL_TIME,NONE,WEEKDAY,PARTIAL_DAY,M
2147,2014-11-10,  1.00,  2.50,112.50,112.50,  0.00,2014-09-19,FULL_TIME,NONE,WEEKDAY,PARTIAL_DAY,M
2147,2014-11-03,  1.00,  2.50,112.50,112.50,  0.00,2014-09-19,FULL_TIME,NONE,WEEKDAY,PARTIAL_DAY,M
2146,2014-10-27,  1.00,  2.50,112.50,112.50,  0.00,2014-09-19,FULL_TIME,NONE,WEEKDAY,PARTIAL_DAY,M
2146,2014-10-20,  1.00,  2.50,112.50,112.50,  0.00,2014-09-19,FULL_TIME,NONE,WEEKDAY,PARTIAL_DAY,M
2146,2014-10-13,  1.00,  2.50,112.50,112.50,  0.00,2014-09-19,FULL_TIME,NONE,WEEKDAY,PARTIAL_DAY,M
