day_type,day_dur,discount_type,membership_level,ROOM,AMOUNT,EFF_RATE
WEEKEND,FULL_DAY,DISCOUNT,NON_MEMBER,DOWNTOWN, 0.00, 0.00
WEEKEND,FULL_DAY,DISCOUNT,NON_MEMBER,UPTOWN,,
WEEKEND,FULL_DAY,DISCOUNT,NON_MEMBER,MERIDIAN,125.00,112.50
WEEKEND,FULL_DAY,DISCOUNT,NON_MEMBER,OMI,116.00,61.80
WEEKEND,FULL_DAY,DISCOUNT,NON_MEMBER,JINGLETOWN,183.60,156.06
WEEKEND,FULL_DAY,DISCOUNT,NON_MEMBER,ATRIUM,227.31,133.56
WEEKEND,FULL_DAY,DISCOUNT,NON_MEMBER,BROADWAY,315.00,223.28
WEEKEND,FULL_DAY,DISCOUNT,PART_TIME,EAST_OAK,,
WEEKEND,FULL_DAY,DISCOUNT,PART_TIME,WEST_OAK,,
WEEKEND,FULL_DAY,DISCOUNT,PART_TIME,DOWNTOWN,45.00,22.50
WEEKEND,FULL_DAY,DISCOUNT,PART_TIME,UPTOWN,,
WEEKEND,FULL_DAY,DISCOUNT,PART_TIME,MERIDIAN,70.00,35.00
WEEKEND,FULL_DAY,DISCOUNT,PART_TIME,OMI,92.50,53.50
WEEKEND,FULL_DAY,DISCOUNT,PART_TIME,JINGLETOWN,129.00,55.10
WEEKEND,FULL_DAY,DISCOUNT,PART_TIME,ATRIUM,248.40,124.20
WEEKEND,FULL_DAY,DISCOUNT,PART_TIME,BROADWAY,253.26,178.19
WEEKEND,FULL_DAY,DISCOUNT,FULL_TIME,EAST_OAK,,
WEEKEND,FULL_DAY,DISCOUNT,FULL_TIME,WEST_OAK,,
WEEKEND,FULL_DAY,DISCOUNT,FULL_TIME,DOWNTOWN,,
WEEKEND,FULL_DAY,DISCOUNT,FULL_TIME,UPTOWN,65.00,40.25
WEEKEND,FULL_DAY,DISCOUNT,FULL_TIME,MERIDIAN,,
WEEKEND,FULL_DAY,DISCOUNT,FULL_TIME,OMI,90.00, 0.00
WEEKEND,FULL_DAY,DISCOUNT,FULL_TIME,JINGLETOWN,105.00,22.31
WEEKEND,FULL_DAY,DISCOUNT,FULL_TIME,ATRIUM,140.00,60.38
WEEKEND,FULL_DAY,DISCOUNT,FULL_TIME,BROADWAY,208.64,106.80
WEEKEND,FULL_DAY,DISCOUNT,unknown,EAST_OAK,,
WEEKEND,FULL_DAY,DISCOUNT,unknown,WEST_OAK,,
WEEKEND,FULL_DAY,DISCOUNT,unknown,DOWNTOWN,,
WEEKEND,FULL_DAY,DISCOUNT,unknown,UPTOWN,,
WEEKEND,FULL_DAY,DISCOUNT,unknown,MERIDIAN,,
WEEKEND,FULL_DAY,DISCOUNT,unknown,OMI,85.00,76.50
WEEKEND,FULL_DAY,DISCOUNT,unknown,JINGLETOWN,,
WEEKEND,FULL_DAY,DISCOUNT,unknown,ATRIUM,,
WEEKEND,FULL_DAY,DISCOUNT,unknown,BROADWAY,153.33,125.25
WEEKEND,FULL_DAY,NO_DISCOUNT,NON_MEMBER,EAST_OAK,55.00,55.00
WEEKEND,FULL_DAY,NO_DISCOUNT,NON_MEMBER,WEST_OAK,,
WEEKEND,FULL_DAY,NO_DISCOUNT,NON_MEMBER,DOWNTOWN,95.00, 0.00
WEEKEND,FULL_DAY,NO_DISCOUNT,NON_MEMBER,UPTOWN,,
WEEKEND,FULL_DAY,NO_DISCOUNT,NON_MEMBER,MERIDIAN,125.00,125.00
WEEKEND,FULL_DAY,NO_DISCOUNT,NON_MEMBER,OMI,145.00,94.25
WEEKEND,FULL_DAY,NO_DISCOUNT,NON_MEMBER,JINGLETOWN,180.00,117.00
WEEKEND,FULL_DAY,NO_DISCOUNT,NON_MEMBER,ATRIUM,182.50,182.50
WEEKEND,FULL_DAY,NO_DISCOUNT,NON_MEMBER,BROADWAY,313.75,313.75
WEEKEND,FULL_DAY,NO_DISCOUNT,PART_TIME,EAST_OAK,55.00,41.25
WEEKEND,FULL_DAY,NO_DISCOUNT,PART_TIME,WEST_OAK,,
WEEKEND,FULL_DAY,NO_DISCOUNT,PART_TIME,DOWNTOWN,75.00, 0.00
WEEKEND,FULL_DAY,NO_DISCOUNT,PART_TIME,UPTOWN,,
WEEKEND,FULL_DAY,NO_DISCOUNT,PART_TIME,MERIDIAN,,
WEEKEND,FULL_DAY,NO_DISCOUNT,PART_TIME,OMI,,
WEEKEND,FULL_DAY,NO_DISCOUNT,PART_TIME,JINGLETOWN,,
WEEKEND,FULL_DAY,NO_DISCOUNT,PART_TIME,ATRIUM,172.50,172.50
WEEKEND,FULL_DAY,NO_DISCOUNT,PART_TIME,BROADWAY,252.69,252.69
WEEKEND,FULL_DAY,NO_DISCOUNT,FULL_TIME,EAST_OAK,45.00, 0.00
WEEKEND,FULL_DAY,NO_DISCOUNT,FULL_TIME,WEST_OAK,,
